text,label
"Power line's cost could grow 40 NEW YORK -- Northeast Utilities , UIL Holdings Corp. , and New England's grid operator have proposed changes to a planned power line in Southwest Connecticut that would increase costs by more than 40 percent.",2
"US Chip-Related Stocks Including Intel Decline in Europe US chip-related stocks, including Intel Corp., declined after Advanced Micro Devices Inc. said third- quarter sales fell from the preceding period.",2
"Annan to Urge World Leaders to Respect Human Life  UNITED NATIONS (Reuters) - U.N. Secretary-General Kofi  Annan intends to tell world leaders on Tuesday to respect human  life, whether civilians or prisoners of war in Iraq, villagers  in Sudan or children in northern Uganda or Russia.",0
"IBM Plans Web Meeting Service; Takes Aim at WebEx  NEW YORK (Reuters) - IBM &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=IBM.N qtype=sym infotype=info qcat=news""&gt;IBM.N&lt;/A&gt; plans to offer  Web-conferencing as a hosted Internet service, seeking to reach  small and medium-sized business customers while taking on more  established rivals in the market, the company said on Tuesday.",3
"Sacked Boris 'will bounce back' Tory MP Boris Johnson's political career is not over despite his sacking, say his friends and father.",0
Zafi.D virus - A  quot;Merry Christmas quot; email Santa didn #39;t send! The latest email virus  quot;Zafi.D virus quot; is certain to bring sadness and not joy to many surfers over the next few days/weeks.,3
"Pittsburgh prep star King chooses Penn State Justin King, a Gateway High School cornerback-running back who is considered one of the nation #39;s top 10 high school players, will play at Penn State.",1
China party chief rules out full democracy Chinese Communist Party chief Hu Jintao called for parliament to take a stronger watchdog role on the eve of a key leadership meeting but ruled out Western-style democracy ,0
"Experts on Gazprom and Rosneft #39;s merger RBC, 12.11.2004, Moscow 14:57:41.Analysts with Russian investment companies consider positive news that the government approved the methodology of Gazprom and Rosneft #39;s merger.",2
"Pakistani Forces Attack Militant Hideouts; 10 Killed (Reuters) Reuters - Up to ten people were killed in\fierce fighting between Pakistani security forces and al\Qaeda-linked fighters Sunday, taking the death toll to over 70\in one of the deadliest actions against the militants.",0
Lasker Prizes to Honor 5 for Research in Medicine A founding father of molecular biology and a surgeon who developed the standard operation for removing cataracts are among the winners of this year's Lasker awards for medical research.,3
"Dodgers blue after disappointing series Disappointment for the Dodgers again. Los Angeles made major strides this season by winning the National League West to end a long playoff drought, then earning the club's first postseason victory in 16 years.",1
"IMF Official Urges Nations on Africa (AP) AP - Developed countries should do more for Africa, including opening their markets to trade, the head of the International Monetary Fund said Tuesday.",0
"China Aviation Oil Says Still in Business The main supplier of jet fuel to China is continuing to do business despite a criminal investigation of its US\$550 million (euro414 million) in losses on derivative trading, the company said.",2
"A Look at U.S. Military Deaths in Iraq (AP) AP - As of Friday, Sept. 17, 2004, 1,027 members of the U.S. military have died since the beginning of the Iraq war in March 2003, according to the Defense Department. Of those, 777 died as a result of hostile action and 250 died of non-hostile causes. The figures include three military civilians.",0
"Iran says ban on its uranium enrichment program  quot;illegal quot; TEHRAN, Iran Iranian officials say it #39;s  quot;illegal quot; for the United Nations nuclear watchdog agency to make them freeze all of their uranium enrichment work.",0
"Russia launches manned space mission to ISS MOSCOW. Oct 14 (Interfax) - A Soyuz TMA-5 spaceship carrying a new crew to the International Space Station (ISS) was launched from the Baikonur cosmodrome with a Soyuz-FG rocket at 7:06 am on Thursday, an ",3
"Ford CEO asks for government help on health costs Bill Ford, Ford Motor Co. #39;s chairman and chief executive officer, called Wednesday for federal help with health-care costs and the development of hydrogen-powered vehicles.",2
"Congress Probing U.N. Oil-For Food Program (AP) AP - Congressional investigators examining ""a semitrailer truck load"" of subpoenaed documents are trying to determine whether lax monitoring at a French bank that held more than  #36;60 billion for the U.N. oil-for-food program facilitated illicit business deals by the former Iraqi government, officials told The Associated Press.",0
"Felix overmatched in 200? Not for a second ATHENS -- Allyson Felix is 18 years old, is missing a week of college classes, and is traveling with parents who are concerned about her diet. Oh, and one other thing: She won the silver medal in the 200-meter dash last night at the Olympic Games.",1
"Company chiefs who outsource jobs earn more, study finds WASHINGTON Chief executives of US companies that outsourced the greatest number of jobs reaped bigger pay and benefits last year than those from other companies, according to a study of executive compensation released Tuesday.",2
"UPDATE 2-Gold-backed security streetTRACKS debuts on NYSE A gold-backed security named streetTRACKS Gold Shares made a much-hyped debut on the New York Stock Exchange on Thursday, aimed at attracting the investment capital ",2
Timing an issue in Tel Aviv hit Ilan Moscovsky was heading out of his apartment to buy vegetables in Tel Aviv #39;s Carmel Market Monday at the moment a 16-year-old Palestinian suicide bomber detonated himself.,0
"San Diego-Born Panda Hua Mei Has Twins (AP) AP - San Diego's native-born panda, Hua Mei, gave birth to twins on Wednesday, less than a year after she was sent into a Chinese breeding program.",3
"India, Nepal Hold Talks Over Tackling Maoist Revolt Nepali Prime Minister Sher Bahadur Deuba held talks with his Indian counterpart on Thursday to try to secure more help to crush an increasingly deadly Maoist revolt in the poor Himalayan nation.",0
"New York 9, Tampa Bay 1 (1st game) Mike Mussina looked out from the bullpen a half-hour before his start against the Tampa Bay Devil Rays and couldn #39;t believe what he saw: more than 50,000 empty seats at Yankee Stadium.",1
"HP sinks utility project, lays off some workers Firm to sell Utility Data Center package as separate software modules. UDC staff handed walking papers.",3
Turkish parliament may reconvene Turkey #39;s main opposition party has called for the swift recall of parliament to approve key reforms demanded by the European Union and says any further delay could imperil Ankara #39;s bid to open EU entry talks.,0
Dell Elevates SuSE Linux Dell will expand its Linux offerings by preinstalling SuSE Linux on its servers starting later this year. By Larry Greenemeier. The same day Microsoft CEO Steve Ballmer issued an E-mail to customers promoting ,3
"Roadside bomb kills British soldier A soldier from Britain  #39;s Black Watch regiment was killed and two others wounded in Iraq when a bomb exploded near their camp, the Ministry of Defence has said.",0
"Microsoft Gets Good Grades on SP2 Microsoft has begun sending Windows XP Service Pack 2 to home users via of its automatic update system. Despite a few flaws that already have been found in the massive patch, the update will strengthen system security for most Windows XP ...",3
Having a ball The Red Sox rode into Yankee Stadium on Friday with the confidence that comes from playing like the best team in baseball and having the wild card in your back pocket.,1
"Wireless Business Helps Lucent Profit  CHICAGO (Reuters) - Lucent Technologies Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=LU.N target=/stocks/quickinfo/fullquote""&gt;LU.N&lt;/A&gt;, among  the world's largest makers of telecommunications equipment, on  Wednesday said quarterly earnings rose sharply, helped by  improvement in its wireless networks business and lower costs.",2
"Police probe Jakarta suicide role At least one suicide bomber was responsible for carrying out Thursday #39;s attack near the Australian Embassy in central Jakarta that killed nine people and injured more than 180 others, police officials said Friday.",0
The Plot Thickens: Testing European Tolerance BRUSSELS: The killing of controversial Dutch film-maker Theo van Gogh by a suspected Islamic extremist and the subsequent spate of retaliatory attacks on Muslim targets are a damaging blow to relations between European Union #39;s 15 million Muslims and their ,0
"AC Milan gains momentum Rome, Italy (Sports Network) - AC Milan won 1-0 at Cagliari Sunday as a crucial week lies ahead for the Italian giants. Milan rested many of its regulars including Jaap Stam and Hernan Crespo because of a ",1
"Before Helping the Red Sox to a Championship, Schilling Helped &lt;b&gt;...&lt;/b&gt; CURT SCHILLING, who was instrumental in helping the Boston Red Sox win the World Series for the first time in 86 years, had a better year than people realize.",1
"Google Wins GEICO Trademark Suit over Keywords The decision left undecided whether the sale of GEICO #39;s trademarks by Google or any other search engine, in and of itself, violates the trademark laws or other laws.",2
"Google Has A New One for the Labs - Google Suggest Google Has A New One for the Labs - Google Suggest\\Google's Labs has popped out a new beta - Google Suggest. Google Suggest looks like the regular Google search, except as you type in keywords Google -- surprise! -- tries to guess what you could be typing. The really nifty ...",3
"Hot Stove Truth  amp; Rumors: Nov. 17, 2004 Signing shortstop Cristian Guzman and third baseman Vinny Castilla indicate that Washington GM Jim Bowden takes seriously his pledge to aggressively assemble a competitive team.",1
"US Airways Files for Bankruptcy Protection; 2nd Time in 2 Years S Airways filed for Chapter 11 protection this afternoon, its second round in bankruptcy in two years, after workers refused the airline #39;s push for \$800 million in wage and benefit cuts so that it could lower its costs.",2
"Bush, Kerry camps spar over new overtime pay rules (AFP) AFP - New rules governing overtime pay kicked in, sparking a politically charged debate over the impact of the new regulations on US workers.",0
Warrick Out for Season With Leg Injury (AP) AP - Bengals wide receiver Peter Warrick is out for the year after injuring his left shin in the season opener. The injury was believed to have been a serious shin bruise at first but was later diagnosed as a cracked bone.,1
AP: Group Discovers John the Baptist Cave (AP) AP - Archaeologists said Monday they have found a cave where they believe John the Baptist anointed many of his disciples  #151; a huge cistern with 28 steps leading to an underground pool of water.,3
"Investors Cutting the Edge of CNET (The Motley Fool) The Motley Fool - CNET Networks (Nasdaq: CNET - News) has built a brand in the geeky world of tech products. Of course, with the drop in tech spending, CNET needed to make a transition. So the company is focusing more on the ""digital lifestyle."" Just look at cultural movements such as Apple's (Nasdaq: AAPL - News) iPod. Yes, tech can be cool and hip.",3
"Twin bomb blasts wound 18 in tense Thai south Get INQ7 breaking news on your Smart mobile phone in the Philippines. Send INQ7 BREAKING to 386. YALA, Thailand -- Two bomb blasts rocked southern Thailand Friday, injuring at least 18 people as fury mounted ",0
"Intel Acquires Chip Designers From HP Intel Corp. has reached an agreement to hire hundreds of Hewlett-Packard Co. engineers who helped design the Itanium microprocessor, a massive joint project between the two technology companies since the early 1990s.",3
"Bear Stearns bond offering practices investigated The Securities and Exchange Commission is investigating Bear Stearns Cos #39; (BSC.N: Quote, Profile, Research) municipal bond offering practices, according to a filing from the US investment bank.",2
"Ohio State Routs Indiana COLUMBUS, Ohio (Sports Network) - Troy Smith threw for 161 yards and two touchdowns, leading the Ohio State Buckeyes to a commanding 30-7 victory over the Indiana Hoosiers in Big Ten action from Ohio Stadium.",1
"Chilean Judge Questions Pinochet on Riggs Money  SANTIAGO, Chile (Reuters) - A Chilean judge has questioned  former dictator Augusto Pinochet about secret U.S. bank  accounts worth up to \$8 million, a member of Pinochet's legal  defense said on Friday.",0
"No entry for spam AFTER a couple of days #39; leave, one gets back to work, opens the e-mail and starts swearing. You know the reason: Spam. Except for tech-savvy Internet users who have installed tools such as spam filtering software ",3
"Ht Burnley 1 Aston Villa 0 Hendrie then had another shot from distance after 25 minutes, this time with his left foot, but again it drifted wide. Solano finally found accuracy with his crosses a minute later and floated a ball to the ",1
"Kansas State guard leaves team Manhattan, KS (Sports Network) - Kansas State guard Dez Willingham will not return to the men #39;s basketball team for the upcoming season.",1
